run_id,evidence_class,impactor_mass_kg,impactor_radius_m,water_mass_fraction,impact_angle_deg,contact_impact_parameter,mutual_escape_speed_m_s,impact_speed_m_s,particle_count,initial_conditions
sph_0044,pipeline_validation,1.345e+23,2575000.0,0.3,75.0,0.9659258262890683,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0044.hdf5
sph_0045,hpc_resolution_study,1.345e+23,2575000.0,0.3,75.0,0.9659258262890683,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0045.hdf5
sph_0046,pipeline_validation,1.345e+23,2575000.0,0.5,75.0,0.9659258262890683,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0046.hdf5
sph_0047,hpc_resolution_study,1.345e+23,2575000.0,0.5,75.0,0.9659258262890683,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0047.hdf5
sph_0048,pipeline_validation,1.345e+23,2575000.0,0.3,60.0,0.8660254037844386,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0048.hdf5
sph_0049,hpc_resolution_study,1.345e+23,2575000.0,0.3,60.0,0.8660254037844386,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0049.hdf5
sph_0050,pipeline_validation,1.345e+23,2575000.0,0.5,60.0,0.8660254037844386,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0050.hdf5
sph_0051,hpc_resolution_study,1.345e+23,2575000.0,0.5,60.0,0.8660254037844386,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0051.hdf5
sph_0052,pipeline_validation,1.345e+23,2575000.0,0.3,65.0,0.9063077870366499,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0052.hdf5
sph_0053,hpc_resolution_study,1.345e+23,2575000.0,0.3,65.0,0.9063077870366499,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0053.hdf5
sph_0054,pipeline_validation,1.345e+23,2575000.0,0.5,65.0,0.9063077870366499,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0054.hdf5
sph_0055,hpc_resolution_study,1.345e+23,2575000.0,0.5,65.0,0.9063077870366499,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0055.hdf5
sph_0056,pipeline_validation,1.345e+23,2575000.0,0.3,70.0,0.9396926207859083,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0056.hdf5
sph_0057,hpc_resolution_study,1.345e+23,2575000.0,0.3,70.0,0.9396926207859083,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0057.hdf5
sph_0058,pipeline_validation,1.345e+23,2575000.0,0.5,70.0,0.9396926207859083,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0058.hdf5
sph_0059,hpc_resolution_study,1.345e+23,2575000.0,0.5,70.0,0.9396926207859083,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0059.hdf5
sph_0060,pipeline_validation,1.345e+23,2575000.0,0.3,75.0,0.9659258262890683,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0060.hdf5
sph_0061,hpc_resolution_study,1.345e+23,2575000.0,0.3,75.0,0.9659258262890683,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0061.hdf5
sph_0062,pipeline_validation,1.345e+23,2575000.0,0.5,75.0,0.9659258262890683,9545.520033832508,11454.62404059901,100000,initial_conditions/sph_0062.hdf5
sph_0063,hpc_resolution_study,1.345e+23,2575000.0,0.5,75.0,0.9659258262890683,9545.520033832508,11454.62404059901,1000000,initial_conditions/sph_0063.hdf5
sph_0064,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,60.0,0.8660254037844386,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0064.hdf5
sph_0065,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,60.0,0.8660254037844386,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0065.hdf5
sph_0066,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,60.0,0.8660254037844386,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0066.hdf5
sph_0067,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,60.0,0.8660254037844386,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0067.hdf5
sph_0068,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,65.0,0.9063077870366499,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0068.hdf5
sph_0069,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,65.0,0.9063077870366499,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0069.hdf5
sph_0070,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,65.0,0.9063077870366499,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0070.hdf5
sph_0071,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,65.0,0.9063077870366499,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0071.hdf5
sph_0072,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,70.0,0.9396926207859083,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0072.hdf5
sph_0073,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,70.0,0.9396926207859083,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0073.hdf5
sph_0074,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,70.0,0.9396926207859083,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0074.hdf5
sph_0075,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,70.0,0.9396926207859083,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0075.hdf5
sph_0076,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,75.0,0.9659258262890683,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0076.hdf5
sph_0077,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,75.0,0.9659258262890683,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0077.hdf5
sph_0078,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,75.0,0.9659258262890683,9467.134276922705,9467.134276922705,100000,initial_conditions/sph_0078.hdf5
sph_0079,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,75.0,0.9659258262890683,9467.134276922705,9467.134276922705,1000000,initial_conditions/sph_0079.hdf5
sph_0080,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,60.0,0.8660254037844386,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0080.hdf5
sph_0081,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,60.0,0.8660254037844386,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0081.hdf5
sph_0082,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,60.0,0.8660254037844386,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0082.hdf5
sph_0083,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,60.0,0.8660254037844386,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0083.hdf5
sph_0084,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,65.0,0.9063077870366499,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0084.hdf5
sph_0085,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,65.0,0.9063077870366499,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0085.hdf5
sph_0086,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,65.0,0.9063077870366499,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0086.hdf5
sph_0087,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,65.0,0.9063077870366499,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0087.hdf5
sph_0088,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,70.0,0.9396926207859083,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0088.hdf5
sph_0089,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,70.0,0.9396926207859083,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0089.hdf5
sph_0090,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,70.0,0.9396926207859083,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0090.hdf5
sph_0091,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,70.0,0.9396926207859083,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0091.hdf5
sph_0092,pipeline_validation,1.68125e+23,2773834.6634160504,0.3,75.0,0.9659258262890683,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0092.hdf5
sph_0093,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.3,75.0,0.9659258262890683,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0093.hdf5
sph_0094,pipeline_validation,1.68125e+23,2773834.6634160504,0.5,75.0,0.9659258262890683,9467.134276922705,11360.561132307246,100000,initial_conditions/sph_0094.hdf5
sph_0095,hpc_resolution_study,1.68125e+23,2773834.6634160504,0.5,75.0,0.9659258262890683,9467.134276922705,11360.561132307246,1000000,initial_conditions/sph_0095.hdf5
