particle,time_yr,distance_au,relative_speed_km_s,collided
tp_000030,147.0000000000014,18.160133425566915,26.730840435271887,False
tp_000031,59.5000000000037,17.3713598747197,22.45398282896428,False
tp_000032,93.51999999999853,22.521505177731168,24.041206364091874,False
tp_000033,152.00000000000395,16.9828532808323,25.95985691014275,False
tp_000034,64.5000000000043,15.074619530216795,23.51865814474574,False
tp_000035,58.500000000003546,43.101106243469,25.16810702869604,False
tp_000036,140.51999999999808,16.187521188146725,24.856961721794093,False
tp_000037,51.50000000000245,39.84153018942057,25.377743000481573,False
tp_000038,36.00000000000003,19.81168207808298,23.68183483096771,False
tp_000039,160.00000000000804,18.810041719750537,24.360278368797832,False
tp_000040,125.01999999999227,28.116369588584952,24.746269407364707,False
tp_000041,170.50000000001342,19.476641712446252,24.512671958615115,False
tp_000042,110.01999999999525,14.104391123230828,23.804590439947557,False
tp_000043,131.51999999999347,38.30084575086982,24.306139309749327,False
tp_000044,151.00000000000344,28.67032699439876,24.78199157037057,False
tp_000045,35.019999999999875,25.814187405698426,24.273024775087585,False
tp_000046,67.50000000000371,29.5093896128747,26.020831740998407,False
tp_000047,176.50000000001648,37.162834753090905,25.035675966637694,False
tp_000048,159.00000000000753,19.729083738772463,24.160418746506647,False
tp_000049,94.51999999999833,24.634793937802513,23.33209699616657,False
tp_000050,0.5000000000000001,15.141496402249425,22.512811311462332,False
tp_000051,15.019999999999769,30.50125116841024,25.80562216095259,False
tp_000052,22.51999999999961,29.281134417323937,24.208867599670068,False
tp_000053,140.51999999999808,32.3902091045724,24.452962869312348,False
tp_000054,36.00000000000003,29.427463952468045,24.920502884224415,False
tp_000055,180.50000000001853,28.038777838316012,23.647843029555762,False
tp_000056,125.01999999999227,21.0797902654439,24.14106676369871,False
tp_000057,139.0199999999973,26.07546039094921,24.80156754660177,False
tp_000058,64.0000000000044,15.206767900788222,22.83194015059291,False
tp_000059,179.50000000001802,20.03302560534205,24.813692475848942,False
tp_000060,97.51999999999774,18.755807838078606,22.37706211480503,False
tp_000061,123.51999999999256,26.640958875160507,25.86465130620752,False
tp_000062,95.01999999999823,30.325880746275985,26.326060926610968,False
tp_000063,157.50000000000676,20.651783160454446,23.682859636133216,False
tp_000064,16.519999999999737,39.69909489151951,28.113104626158094,False
tp_000065,36.50000000000011,33.819909389141934,26.58720710894086,False
tp_000066,188.00000000002237,18.68117713113805,23.5532492682833,False
tp_000067,76.00000000000202,20.196251557504034,23.820067881230646,False
tp_000068,178.00000000001725,29.64929983812464,24.910559583101357,False
tp_000069,69.50000000000331,17.27516437905273,23.596666835761155,False
tp_000070,194.00000000002544,36.04101430894436,26.13111868366918,False
tp_000071,105.01999999999624,21.77906777776813,23.9787114386959,False
tp_000072,45.000000000001435,39.40831418473794,25.477093005417263,False
tp_000073,23.519999999999587,36.84711031104186,27.763890287727058,False
tp_000074,13.019999999999811,22.89981845192764,24.963578042996396,False
tp_000075,199.000000000028,31.081017603729467,25.774527269490605,False
tp_000076,161.5000000000088,38.30086038321177,24.494094826872434,False
tp_000077,39.0000000000005,26.717067100359156,25.473635347851445,False
tp_000078,142.5199999999991,25.156814088587584,23.489953275642016,False
tp_000079,1.0000000000000004,37.08392827831014,25.594165245817155,False
tp_000080,189.50000000002314,39.79566324255945,24.797961537117654,False
tp_000081,85.00000000000023,29.654800600406716,25.099195234922703,False
tp_000082,43.5000000000012,32.88583914386937,24.679828493418725,False
tp_000083,35.019999999999875,37.08341931789468,25.787138551170575,False
tp_000084,0.5000000000000001,39.366153146751444,28.47078368507032,False
tp_000085,157.0000000000065,16.177662073692527,23.45294238631171,False
tp_000086,17.519999999999715,32.237942949165195,27.018929788997937,False
tp_000087,152.00000000000395,31.53766376806766,25.6193875931307,False
tp_000088,162.50000000000932,19.434761624270784,22.904475371250072,False
tp_000089,137.0199999999963,29.077743517504917,24.830360676084656,False
tp_000090,181.0000000000188,34.321722345168816,27.690163965819416,False
tp_000091,25.019999999999555,31.227002765627788,24.820281156517993,False
tp_000092,24.519999999999566,30.847664755692424,24.02591673302803,False
tp_000093,199.50000000002825,18.569803567269492,24.061038530895722,False
tp_000094,151.5000000000037,40.33169433456999,25.90152736981088,False
tp_000095,172.00000000001418,14.874504958693581,22.64111256681518,False
