particle,time_yr,distance_au,relative_speed_km_s,collided
injected_000099,272.5053544909918,0.9458422031689353,26.00190779631736,False
injected_000100,152.01512111048035,0.7325932786004077,23.255091292060165,False
injected_000101,268.5142225483215,1.2971063276939263,28.64864808940715,False
injected_000102,101.00166617255361,0.4806719789558337,13.926066415844204,False
injected_000103,35.004036015436526,0.7429107356229913,21.441169106452776,False
injected_000104,287.5055139629722,1.5001925940821226,56.31663577630447,False
injected_000105,275.50190337961874,1.0131379766037247,15.606867987482648,False
injected_000106,102.00272602050818,0.8443006911338654,16.44279265691497,False
injected_000107,219.5076079800094,0.3077952265196922,19.93171660410762,False
injected_000108,479.01080522538615,0.5338966090327744,16.282229695163544,False
injected_000109,169.51421698950637,0.6333683005384698,16.278922848282434,False
injected_000110,72.51480691058735,0.32509898923441843,15.140425494456442,False
injected_000111,168.00280639305348,0.8428670910121719,29.87793745151327,False
injected_000112,288.50260059102874,0.508465363530594,12.62239103977161,False
injected_000113,260.0068599985651,0.7333248477739274,13.91309378106335,False
injected_000114,278.0088751146981,0.4839544289340445,18.052535748372406,False
injected_000115,0.5028779555741706,1.7633107878782834,46.42618131121519,False
injected_000116,337.5133930385749,0.8695943457341292,33.63583233511962,False
injected_000117,356.504240325573,0.7895106368177275,2.242653864647415,False
injected_000118,5.512091566869037,1.493866919445159,44.11435259672072,False
injected_000119,410.0043543671938,0.2587495363028325,25.681319757082964,False
injected_000120,297.0080386237999,0.6633122093175049,15.436417736338727,False
injected_000121,127.51629679428959,0.44311456582635717,26.98665806605268,False
injected_000122,161.5116868467036,1.1601261012910007,42.45243414467612,False
injected_000123,161.01575837141067,0.5040369190058777,32.330880905648556,False
injected_000124,103.00478922546898,0.515609310439926,20.58837034266188,False
injected_000125,247.00898983440135,1.0277443250352827,17.406409516117993,False
injected_000126,198.50470280008383,1.2072114429299377,25.402007525511944,False
injected_000127,454.00627659661154,0.6501741348675437,20.656851070502068,False
injected_000128,442.00741341717475,1.205730524999413,44.02796865147637,False
injected_000129,100.0107575191191,0.8941737977036756,28.028268513394664,False
injected_000130,261.00249992933436,0.6063888182917178,3.3493729066215727,False
injected_000131,119.00073868676107,0.22645053628008538,22.269465684510337,False
injected_000132,258.0107612726281,0.40629441576415914,22.023560622443355,False
injected_000133,4.000044795311404,0.95190841415261,29.813371368272893,False
injected_000134,72.01626757482623,1.7633472956344851,43.97825800616448,False
injected_000135,173.0096363886314,0.8799744285927137,5.7238349535411235,False
injected_000136,56.01420809156335,1.342160729561242,11.85137750340523,False
injected_000137,380.50344393457345,0.6399160015400868,16.954792265515145,False
injected_000138,452.01134374475714,1.0321451513035909,8.094243760187716,False
injected_000139,275.00321626697047,0.27617020779059576,8.386309116412422,False
injected_000140,11.012569031637902,0.5112782079128119,12.446076261977193,False
injected_000141,105.50761390456151,0.8977490735765665,8.29281487821687,False
injected_000142,129.00832548488196,1.2943949365680747,27.10464372606544,False
injected_000143,450.00662150855055,0.5649842787063759,14.705051641082884,False
injected_000144,365.51511142265286,0.5253667638447311,15.289981849798705,False
injected_000145,249.0057389643075,0.793583492537247,20.455560224863174,False
injected_000146,272.0077944723241,0.9293442322343253,13.28187978318626,False
injected_000147,383.5108650115384,0.8529325984980672,21.276420593923422,False
injected_000148,401.0033140357504,0.6259024983906806,14.273707475371051,False
injected_000149,203.50247638100203,0.8655433853176958,21.658994292607947,False
