label,c_eff,impactor_dh,n_photolysis_scale,h2_reservoir_kg,argon_shielding_factor,argon_exposure_factor,first_T_below_1500_yr_min,first_T_below_1500_yr_max,final_T_K_min,final_T_K_max,D_H_over_SMOW_min,D_H_over_SMOW_max,N_residual_fraction_min,N_residual_fraction_max,Ar36_retained_fraction_min,Ar36_retained_fraction_max,max_crossover_amu_min,max_crossover_amu_max
oat_impactor_dh_04,2.5e+25,0.000153825,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9878323038632546,0.9887431702141634,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_n_photolysis_scale_00,2.5e+25,0.0001465,0.488,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.06390732676563113,0.06390732676563113,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_n_photolysis_scale_01,2.5e+25,0.0001465,0.549,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.015124475331238191,0.015124475331238191,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_n_photolysis_scale_02,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_n_photolysis_scale_03,2.5e+25,0.0001465,0.671,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0002706608590245656,0.0002706608590245656,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_n_photolysis_scale_04,2.5e+25,0.0001465,0.732,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,5.272657962804971e-05,5.272657962804971e-05,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_h2_reservoir_kg_00,2.5e+25,0.0001465,0.61,4e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.024171500105181827,0.024171500105181827,0.12000910302155803,0.12000910302155803,451682.9012497625,451682.9012497625
oat_h2_reservoir_kg_01,2.5e+25,0.0001465,0.61,4.5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.006016222010174453,0.006016222010174453,0.12000404611279603,0.12000404611279603,508143.0119059829,508143.0119059829
oat_h2_reservoir_kg_02,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_h2_reservoir_kg_03,2.5e+25,0.0001465,0.61,5.5000000000000007e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0008140993881239841,0.0008140993881239841,0.11999669098338663,0.11999669098338663,621063.2332184236,621063.2332184236
oat_h2_reservoir_kg_04,2.5e+25,0.0001465,0.61,6e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.00046009138405604124,0.00046009138405604124,0.11999393292420656,0.11999393292420656,677523.3438746439,677523.3438746439
