first_T_below_1500_yr,final_T_K,D_H_over_SMOW,final_N_kg,N_residual_fraction,final_Ar36_kg,Ar36_retained_fraction,max_crossover_amu,label,case,c_eff,impactor_dh,n_photolysis_scale,h2_reservoir_kg,argon_shielding_factor,argon_exposure_factor
50550.55055055056,300.0,0.9424699699296769,4.3224736973449364e+18,0.0018393505095084836,392250570364092.2,0.07845011407281843,564603.1225622032,oat_argon_exposure_factor_03,7,2.5e+25,0.0001465,0.61,5e+20,0.97662970792,0.023370292079999966
50550.55055055056,300.0,0.9462160508067251,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,0,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9463006295671574,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,1,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9444252432583514,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,2,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9444841367690439,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,3,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9431812980285696,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,4,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9431941513831105,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,5,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9425191231131548,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,6,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9424699699296769,4.3224736973449364e+18,0.0018393505095084836,207213015284105.22,0.04144260305682104,564603.1225622032,oat_argon_exposure_factor_04,7,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874
50550.55055055056,300.0,0.9037091839946283,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,0,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9038580889201513,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,1,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9005548375501269,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,2,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
